"","area_code","area","cluster_code","cluster","pathway_code","pathway","soc_code","soc_title","predominant_occ_prep_combo","predominant_education_level","training","work_experience","2020_nontrad_status","estimate","projection","change","fraction_change","fraction_change_us","annual_openings","mean_income","median_income","pathway_for_labels","pathway_for_labels_change"
"1","0","Virginia","0","All Occupations","0","All Occupations","0","Total, All Occupations",NA,NA,NA,NA,"N",4179857,4455781,275924,0.0660127848386765,0.052,515291,NA,NA,"All
Occupations","All Occupations
(6.6%)"
"2","0","Virginia","1","Agriculture, Food, and Natural Resources",NA,NA,NA,NA,NA,NA,NA,NA,"No data",76477,79547,3070,0.0401427894830704,NA,8792,NA,NA,NA,"NA
(4.0%)"
"3","0","Virginia","1","Agriculture, Food, and Natural Resources","1.1000000238418579","Food Products and Processing Systems",NA,NA,NA,NA,NA,NA,"No data",13976,13964,-12,-0.000858614745084196,NA,1781,NA,NA,"Food
Products
and
Processing
Systems","Food Products and Processing Systems
(-0.1%)"
"4","0","Virginia","1","Agriculture, Food, and Natural Resources","1.1000000238418579","Food Products and Processing Systems","194011","Agricultural and Food Science Technicians","Some College / Associate Degree & Training / Certification","Some College / Associate Degree","Training / Certification",NA,"No data",555,598,43,0.0774774774909019,0.061,74,38794,37675,"Food
Products
and
Processing
Systems","Food Products and Processing Systems
(7.7%)"
"5","0","Virginia","1","Agriculture, Food, and Natural Resources","1.1000000238418579","Food Products and Processing Systems","513021","Butchers and Meat Cutters","HS Diploma & Training / Certification","High School Diploma","Training / Certification",NA,"No data",3220,3370,150,0.0465838499367237,0.029,422,35942,35370,"Food
Products
and
Processing
Systems","Food Products and Processing Systems
(4.7%)"
"6","0","Virginia","1","Agriculture, Food, and Natural Resources","1.1000000238418579","Food Products and Processing Systems","513022","Meat, Poultry, and Fish Cutters and Trimmers","HS Diploma & Training / Certification","High School Diploma","Training / Certification",NA,"No data",4081,4012,-69,-0.0169076211750507,0.016,493,27934,28332,"Food
Products
and
Processing
Systems","Food Products and Processing Systems
(-1.7%)"
"7","0","Virginia","1","Agriculture, Food, and Natural Resources","1.1000000238418579","Food Products and Processing Systems","513023","Slaughterers and Meat Packers","HS Diploma & Training / Certification","High School Diploma","Training / Certification",NA,"No data",1612,1596,-16,-0.00992555823177099,0.023,197,28997,29580,"Food
Products
and
Processing
Systems","Food Products and Processing Systems
(-1.0%)"
"8","0","Virginia","1","Agriculture, Food, and Natural Resources","1.1000000238418579","Food Products and Processing Systems","513092","Food Batchmakers","HS Diploma & Training / Certification","High School Diploma","Training / Certification",NA,"N",3252,3141,-111,-0.0341328419744968,0.02,463,35073,32117,"Food
Products
and
Processing
Systems","Food Products and Processing Systems
(-3.4%)"
"9","0","Virginia","1","Agriculture, Food, and Natural Resources","1.1000000238418579","Food Products and Processing Systems","513099","Food Processing Workers, All Other","HS Diploma & Training / Certification","High School Diploma","Training / Certification",NA,"N",1256,1247,-9,-0.00716560520231724,0.019,132,28189,27136,"Food
Products
and
Processing
Systems","Food Products and Processing Systems
(-0.7%)"
"10","0","Virginia","1","Agriculture, Food, and Natural Resources","1.2000000476837158","Plant Systems",NA,NA,NA,NA,NA,NA,"No data",1062,1133,71,0.0668549910187721,NA,146,NA,NA,"Plant
Systems","Plant Systems
(6.7%)"
