Area Code,Area,Cluster Code,Cluster,Pathway Code,Pathway,SOC Code,SOC Title,Predominant Occ Prep Combo,Predominant Education Level,Training,Work Experience,2020 Nontrad Status,2018 Estimate,2028 Projection,2018-28 Change,Percent Change,Percent Change-US,Annual Openings,2018 Mean Income,2018 Median Income,,,,,,,,
441,Southwestern Virginia (LWDA I),0,All Occupations,0,All Occupations,0,"Total, All Occupations",.,.,.,.,N,"58,898","57,322","-1,576",-2.7%,5.2%,"6,477","$39,627","$31,867",,,,,,,,
441,Southwestern Virginia (LWDA I),1,"Agriculture, Food, and Natural Resources",.,.,.,.,.,.,.,.,.,538,534,-4,-0.7%,.,60,.,.,,,,,,,,
441,Southwestern Virginia (LWDA I),1,"Agriculture, Food, and Natural Resources",1.7,Agribusiness Systems,.,.,.,.,.,.,.,39,45,6,15.4%,.,6,.,.,,,,,,,,
441,Southwestern Virginia (LWDA I),1,"Agriculture, Food, and Natural Resources",1.7,Agribusiness Systems,119013,"Farmers, Ranchers, and Other Agricultural Managers",HS Diploma & Work Experience,HS Diploma,.,Work Experience,N,39,45,6,15.4%,-0.9%,6,No data,No data,,,,,,,,
441,Southwestern Virginia (LWDA I),1,"Agriculture, Food, and Natural Resources",1.3,Animal Systems,.,.,.,.,.,.,.,45,60,15,33.3%,.,4,.,.,,,,,,,,
441,Southwestern Virginia (LWDA I),1,"Agriculture, Food, and Natural Resources",1.3,Animal Systems,291131,Veterinarians,Graduate/Professional Degree,Graduate/Professional Degree,.,.,N,45,60,15,33.3%,18.4%,4,"$88,566","$86,078",,,,,,,,
441,Southwestern Virginia (LWDA I),1,"Agriculture, Food, and Natural Resources",1.6,Environmental Service Systems,.,.,.,.,.,.,.,316,295,-21,-6.6%,.,33,.,.,,,,,,,,
441,Southwestern Virginia (LWDA I),1,"Agriculture, Food, and Natural Resources",1.6,Environmental Service Systems,192041,"Environmental Scientists and Specialists, Including Health",Bachelor's Degree,Bachelor's Degree,.,.,No data,28,27,-1,-3.6%,8.2%,2,"$66,235","$65,584",,,,,,,,
441,Southwestern Virginia (LWDA I),1,"Agriculture, Food, and Natural Resources",1.6,Environmental Service Systems,518031,Water and Wastewater Treatment Plant and System Operators,HS Diploma & Training/Certification,HS Diploma,Training/Certification,.,F,128,113,-15,-11.7%,-4.8%,9,"$36,682","$36,645",,,,,,,,
441,Southwestern Virginia (LWDA I),1,"Agriculture, Food, and Natural Resources",1.6,Environmental Service Systems,537081,Refuse and Recyclable Material Collectors,HS Diploma & Training/Certification,HS Diploma,Training/Certification,.,F,160,155,-5,-3.1%,8.2%,22,"$27,045","$24,820",,,,,,,,
