area,area_code,region,lwda_code,cluster_code,cluster,pathway_code,pathway,soc_code,soc_title,jobs_estimate_year,num_jobs_estimate,annual_openings,income_year,mean_income,median_income,jobs_projection_year,num_jobs_projected,num_jobs_projected_change,fraction_change_jobs,fraction_change_us,predominant_education_level,training,work_experience,predominant_occ_prep_combo,nontrad_year,nontrad_status
Virginia,0,Virginia,NA,0,All Occupations,0,All Occupations,0,"Total, All Occupations",2018,4179857,515291,2018,NA,NA,2028,4455781,275924,0.06601278483867645,0.052000000000000005,NA,NA,NA,NA,2020,N
Virginia,0,Virginia,NA,1,"Agriculture, Food, and Natural Resources",NA,NA,NA,NA,2018,76477,8792,2018,NA,NA,2028,79547,3070,0.040142789483070374,NA,NA,NA,NA,NA,2020,NA
Virginia,0,Virginia,NA,1,"Agriculture, Food, and Natural Resources",1.1,Food Products and Processing Systems,NA,NA,2018,13976,1781,2018,NA,NA,2028,13964,-12,-8.586147450841963e-4,NA,NA,NA,NA,NA,2020,NA
Virginia,0,Virginia,NA,1,"Agriculture, Food, and Natural Resources",1.1,Food Products and Processing Systems,194011,Agricultural and Food Science Technicians,2018,555,74,2018,38794,37675,2028,598,43,0.07747747749090195,0.061,Some College / Associate Degree,Training / Certification,NA,Some College / Associate Degree & Training / Certification,2020,NA
Virginia,0,Virginia,NA,1,"Agriculture, Food, and Natural Resources",1.1,Food Products and Processing Systems,513021,Butchers and Meat Cutters,2018,3220,422,2018,35942,35370,2028,3370,150,0.04658384993672371,0.028999999999999998,High School Diploma,Training / Certification,NA,HS Diploma & Training / Certification,2020,NA
Virginia,0,Virginia,NA,1,"Agriculture, Food, and Natural Resources",1.1,Food Products and Processing Systems,513022,"Meat, Poultry, and Fish Cutters and Trimmers",2018,4081,493,2018,27934,28332,2028,4012,-69,-0.016907621175050735,0.016,High School Diploma,Training / Certification,NA,HS Diploma & Training / Certification,2020,NA
Virginia,0,Virginia,NA,1,"Agriculture, Food, and Natural Resources",1.1,Food Products and Processing Systems,513023,Slaughterers and Meat Packers,2018,1612,197,2018,28997,29580,2028,1596,-16,-0.009925558231770992,0.023,High School Diploma,Training / Certification,NA,HS Diploma & Training / Certification,2020,NA
Virginia,0,Virginia,NA,1,"Agriculture, Food, and Natural Resources",1.1,Food Products and Processing Systems,513092,Food Batchmakers,2018,3252,463,2018,35073,32117,2028,3141,-111,-0.03413284197449684,0.02,High School Diploma,Training / Certification,NA,HS Diploma & Training / Certification,2020,N
Virginia,0,Virginia,NA,1,"Agriculture, Food, and Natural Resources",1.1,Food Products and Processing Systems,513099,"Food Processing Workers, All Other",2018,1256,132,2018,28189,27136,2028,1247,-9,-0.007165605202317238,0.019,High School Diploma,Training / Certification,NA,HS Diploma & Training / Certification,2020,N
Virginia,0,Virginia,NA,1,"Agriculture, Food, and Natural Resources",1.2,Plant Systems,NA,NA,2018,1062,146,2018,NA,NA,2028,1133,71,0.06685499101877213,NA,NA,NA,NA,NA,2020,NA
Virginia,0,Virginia,NA,1,"Agriculture, Food, and Natural Resources",1.2,Plant Systems,191013,Soil and Plant Scientists,2018,180,22,2018,69855,62286,2028,192,12,0.06666667014360428,0.076,Bachelor's Degree,NA,NA,Bachelor's Degree,2020,NA
Virginia,0,Virginia,NA,1,"Agriculture, Food, and Natural Resources",1.2,Plant Systems,373012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",2018,882,124,2018,36938,34874,2028,941,59,0.06689342111349106,0.068,Some College / Associate Degree,Training / Certification,NA,Some College / Associate Degree & Training / Certification,2020,NA
Virginia,0,Virginia,NA,1,"Agriculture, Food, and Natural Resources",1.3,Animal Systems,NA,NA,2018,8937,1367,2018,NA,NA,2028,11889,2952,0.33031219244003296,NA,NA,NA,NA,NA,2020,NA
Virginia,0,Virginia,NA,1,"Agriculture, Food, and Natural Resources",1.3,Animal Systems,291131,Veterinarians,2018,2984,226,2018,127543,99198,2028,3917,933,0.3126675486564636,0.184,Graduate / Professional Degree,NA,NA,Graduate / Professional Degree,2020,N
Virginia,0,Virginia,NA,1,"Agriculture, Food, and Natural Resources",1.3,Animal Systems,292056,Veterinary Technologists and Technicians,2018,1960,252,2018,39740,38489,2028,2628,668,0.34081631898880005,0.193,Some College / Associate Degree,NA,NA,Some College / Associate Degree,2020,M
